Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Single Arm Ring Kneeling Rollout;0;0;Advanced;Abdominals;Rectus Abdominis;Latissimus Dorsi;Serratus Anterior;Gymnastic Rings;1;None;0;Kneeling;Single Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Ring Standing Rollout;https://youtu.be/or7xH0BirKw?si=5oL6x2NsxvCfWaBo;https://youtu.be/or7xH0BirKw?si=5oL6x2NsxvCfWaBo;Advanced;Abdominals;Rectus Abdominis;Latissimus Dorsi;Serratus Anterior;Gymnastic Rings;2;None;0;Standing;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Single Arm Landmine Shoulder Press;https://youtu.be/5Cs27w8WVz4;https://youtu.be/5Cs27w8WVz4;Intermediate;Shoulders;Anterior Deltoids;;;Landmine;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Unsorted*
Alternating Single Arm Landmine Shoulder Press;https://youtu.be/owbzzfb-0PQ;https://youtu.be/owbzzfb-0PQ;Intermediate;Shoulders;Anterior Deltoids;;;Landmine;1;None;0;Standing;Single Arm;Alternating;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Unsorted*
Single Arm Kettlebell Bent Press;https://youtu.be/xO7fmvTpy3M;https://youtu.be/xO7fmvTpy3M;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Rotational;Vertical Push;;Transverse Plane;;;Unsorted*;Push;Compound;Unilateral;Grinds
Alternating Single Arm Kettlebell Around the World High Catch to Squat;0;0;Intermediate;Abdominals;Rectus Abdominis;Quadriceps Femoris;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Pronated;Other;Continuous;No Elevation;Single Exercise;Rotational;Knee Dominant;;Transverse Plane;;;Unsorted*;Push;Compound;Unilateral;Unsorted*
Double Kettlebell Overhead Alternating Cossack Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Adductor Magnus;Gluteus Maximus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Front Rack Cossack Squat;https://youtu.be/sBuAJggOIxE?si=CST2KlC-8f_fnogp;https://youtu.be/sBuAJggOIxE?si=CST2KlC-8f_fnogp;Novice;Quadriceps;Quadriceps Femoris;Adductor Magnus;Gluteus Maximus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Front Rack Low Switch Cossack Squat;https://youtu.be/j9sFzOeMmxY?si=i2yJV3WJb2pBCf0X;https://youtu.be/j9sFzOeMmxY?si=i2yJV3WJb2pBCf0X;Intermediate;Quadriceps;Quadriceps Femoris;Adductor Magnus;Gluteus Maximus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press;0;0;Intermediate;Shoulders;Anterior Deltoids;Gluteus Maximus;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Bottoms Up;Overhead;Continuous;No Elevation;Combo Exercise;Vertical Push;Hip Hinge;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Double Kettlebell Bottoms Up Clean to Overhead Press;0;0;Intermediate;Shoulders;Anterior Deltoids;Gluteus Maximus;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Combo Exercise;Vertical Push;Hip Hinge;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Soleus;Kettlebell;2;None;0;Knee Over Toe Split Squat;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Landmine Half Kneeling Contralateral Shoulder Press;https://youtu.be/ORoOn93dnh4;https://youtu.be/ORoOn93dnh4;Intermediate;Shoulders;Anterior Deltoids;;;Landmine;1;None;0;Half Kneeling;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Contralateral;Unsorted*
Bodyweight Bulgarian Split Squat;https://youtu.be/kBQ1krvKFBU;https://youtu.be/kBQ1krvKFBU;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Bodyweight;1;Bench (Flat);1;Single Leg Supported;No Arms;Continuous;No Grip;No Load;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Plate Otis Up;https://youtu.be/vjAjAERSkIk;https://youtu.be/vjAjAERSkIk;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Weight Plate;1;None;0;Supine;Double Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Double Kettlebell Overhead Pistol Squat;0;0;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Kettlebell;2;None;0;Single Leg Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Balance
Double Kettlebell Bottoms Up Front Rack Pistol Squat;https://youtu.be/WPIrFREyNaw;https://youtu.be/WPIrFREyNaw;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Kettlebell;2;None;0;Single Leg Standing;Double Arm;Continuous;Bottoms Up;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Balance
Double Kettlebell Bottoms Up Overhead Pistol Squat;0;0;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Kettlebell;2;None;0;Single Leg Standing;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Balance
Double Kettlebell Clean to Sots Press;https://youtu.be/NqZPSUqSJlA;https://youtu.be/NqZPSUqSJlA;Intermediate;Shoulders;Anterior Deltoids;Gluteus Maximus;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Combo Exercise;Hip Hinge;Vertical Push;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Double Kettlebell Bottoms Up Clean to Sots Press;0;0;Advanced;Shoulders;Anterior Deltoids;Gluteus Maximus;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Combo Exercise;Vertical Push;Hip Hinge;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Single Arm Landmine Tall Kneeling Shoulder Press;https://youtu.be/TVTHezj2ZLg;https://youtu.be/TVTHezj2ZLg;Intermediate;Shoulders;Anterior Deltoids;;;Landmine;1;None;0;Tall Kneeling;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Unsorted*
Single Arm Landmine Z Press;https://youtu.be/app94pzXOuU;https://youtu.be/app94pzXOuU;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;Rectus Abdominis;Landmine;1;None;0;Seated Floor;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Barbell Z Press;https://youtu.be/D73Oy2m-Uoc;https://youtu.be/D73Oy2m-Uoc;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;Rectus Abdominis;Barbell;1;None;0;Seated Floor;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Bodybuilding
Single Arm Suspension Bicep Curl;https://youtu.be/gn5Uy0z5DyY?si=cNwcH7q0lucOSGDX;https://youtu.be/gn5Uy0z5DyY?si=cNwcH7q0lucOSGDX;Intermediate;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Suspension Trainer;1;None;0;Standing;Single Arm;Continuous;Supinated;No Load;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Unsorted*
Suspension Atomic Push Up;https://youtu.be/qTD9lWjff84;https://youtu.be/qTD9lWjff84;Intermediate;Chest;Pectoralis Major;Rectus Abdominis;;Suspension Trainer;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Unsorted*
Parallette Feet Elevated Close Grip Push Up;0;0;Intermediate;Triceps;Triceps Brachii;Pectoralis Major;;Parallette Bars;1;Bench (Flat);1;Prone;Double Arm;Continuous;Pronated;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Double Kettlebell Clean to Thruster;https://youtu.be/J6xUudO95Gc;https://youtu.be/J6xUudO95Gc;Intermediate;Shoulders;Anterior Deltoids;Gluteus Maximus;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Combo Exercise;Hip Hinge;Vertical Push;Knee Dominant;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Unsorted*
Bodyweight Archer Push Up;https://youtu.be/_Qbz_54_9Sw;https://youtu.be/_Qbz_54_9Sw;Intermediate;Chest;Pectoralis Major;;;Bodyweight;1;None;0;Prone;Double Arm;Alternating;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Frontal Plane;;;Upper Body;Push;Compound;Unilateral;Calisthenics
Parallette Archer Push Up;https://youtu.be/Wg2mF-GjD10;https://youtu.be/Wg2mF-GjD10;Intermediate;Chest;Pectoralis Major;;;Parallette Bars;2;None;0;Prone;Double Arm;Alternating;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Frontal Plane;;;Upper Body;Push;Compound;Unilateral;Calisthenics
Single Arm Suspension Push Up;https://youtu.be/PenQnEuayM4;https://youtu.be/PenQnEuayM4;Intermediate;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Suspension Trainer;1;None;0;Standing;Single Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Unsorted*
Ring Skin the Cat;https://youtu.be/ABSpTs17ObA;https://youtu.be/ABSpTs17ObA;Intermediate;Shoulders;Anterior Deltoids;;;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Rotational;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Bottoms Up;Overhead;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Contralateral;Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat;https://youtu.be/DGzBcpLm8T4?si=VFc6IG7H7vAlBgxV;https://youtu.be/DGzBcpLm8T4?si=VFc6IG7H7vAlBgxV;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Neutral;Suitcase;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Contralateral;Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Neutral;Suitcase;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Ipsilateral;Bodybuilding
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Bottoms Up;Front Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Suitcase Bulgarian Split Squat;https://youtu.be/2mDqNOd-Pco?si=MiZ8nJsVAje_rZfb;https://youtu.be/2mDqNOd-Pco?si=MiZ8nJsVAje_rZfb;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Neutral;Suitcase;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bulgarian Split Squat Thruster ;0;0;Advanced;Shoulders;Anterior Deltoids;Quadriceps Femoris;Gluteus Maximus;Kettlebell;2;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Pronated;Overhead;Continuous;Foot Elevated (Rear);Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster;0;0;Advanced;Shoulders;Anterior Deltoids;Quadriceps Femoris;Gluteus Maximus;Kettlebell;2;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;Foot Elevated (Rear);Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Bottoms Up;Front Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Contralateral;Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Neutral;Front Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Contralateral;Bodybuilding
Ring Feet Elevated Row;https://youtu.be/u3XIZSv2Npw;https://youtu.be/u3XIZSv2Npw;Intermediate;Back;Latissimus Dorsi;Biceps Brachii;;Gymnastic Rings;2;Bench (Flat);1;Supine;Double Arm;Continuous;Neutral;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Bottoms Up;Front Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Ipsilateral;Bodybuilding
Ring Feet Elevated Bulgarian Row;https://youtu.be/k84lpDtf5kQ;https://youtu.be/k84lpDtf5kQ;Intermediate;Back;Latissimus Dorsi;Biceps Brachii;;Gymnastic Rings;2;Bench (Flat);1;Supine;Double Arm;Continuous;Pronated;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Ring Feet Elevated Archer Row;0;0;Intermediate;Back;Latissimus Dorsi;Biceps Brachii;;Gymnastic Rings;2;Bench (Flat);1;Supine;Double Arm;Alternating;Neutral;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Unilateral;Calisthenics
Ring Push Up;https://youtu.be/u8tOhNwiL70;https://youtu.be/u8tOhNwiL70;Intermediate;Chest;Pectoralis Major;Triceps Brachii;;Gymnastic Rings;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Ring Chest Fly;https://youtu.be/ytAxGbZ7g80;https://youtu.be/ytAxGbZ7g80;Intermediate;Chest;Pectoralis Major;;;Gymnastic Rings;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Isolation;Bilateral;Unsorted*
Double Kettlebell Feet Elevated Push Up;https://youtu.be/kw3ht7nZbXs?si=9ZaHvZoUYJK9H_2w;https://youtu.be/kw3ht7nZbXs?si=9ZaHvZoUYJK9H_2w;Intermediate;Chest;Pectoralis Major;Triceps Brachii;;Kettlebell;2;Bench (Flat);1;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press;https://youtu.be/DrpIWrG7rl8;https://youtu.be/DrpIWrG7rl8;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;;Kettlebell;1;None;0;Half Kneeling;Single Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Contralateral;Bodybuilding
Parallette Alternating Shoulder Tap Push Up;https://youtu.be/NENoxvoyaTw;https://youtu.be/NENoxvoyaTw;Intermediate;Chest;Pectoralis Major;Triceps Brachii;;Parallette Bars;2;None;0;Prone;Double Arm;Alternating;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Calisthenics
Parallette Dive Bomber Push Up;https://youtu.be/tpCOg3ZKn3w?si=e_92TbjIAIy3thZh;https://youtu.be/tpCOg3ZKn3w?si=e_92TbjIAIy3thZh;Intermediate;Chest;Pectoralis Major;Triceps Brachii;;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Barbell Front Rack Bulgarian Split Squat;https://youtu.be/kz5dpeSigAI;https://youtu.be/kz5dpeSigAI;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Barbell;1;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Pronated;Front Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Barbell Back Rack Bulgarian Split Squat;https://youtu.be/CeNiZ52DzU0;https://youtu.be/CeNiZ52DzU0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Barbell;1;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Pronated;Back Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Suspension Contralateral Pistol Squat;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Suspension Trainer;1;None;0;Single Leg Standing;Single Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Contralateral;Balance
Barbell Front Rack Alternating Curtsy Lunge;https://youtu.be/QB9bEZQl6Mg;https://youtu.be/QB9bEZQl6Mg;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Barbell;1;None;0;Standing;Double Arm;Continuous;Pronated;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Bodyweight Dragon Flag;https://youtu.be/LXmJg15hurY?si=kuUaXsoiL3fnTOE7;https://youtu.be/LXmJg15hurY?si=kuUaXsoiL3fnTOE7;Advanced;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Supine;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Isometric Hold;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Neutral;Front Rack;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Ipsilateral;Bodybuilding
Bodyweight Dive Bomber Push Up;https://youtu.be/y94uWhVJ3D4?si=TIKacdZm8d8i5e6M;https://youtu.be/y94uWhVJ3D4?si=TIKacdZm8d8i5e6M;Intermediate;Chest;Pectoralis Major;Triceps Brachii;;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Barbell Staggered Stance Push Press;0;0;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;;Barbell;1;None;0;Staggered Stance;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Unsorted*
Parallette Full Planche;https://youtu.be/v6oj7ImoVP4?si=F3GtqX0vk8YHIyZm;https://youtu.be/v6oj7ImoVP4?si=F3GtqX0vk8YHIyZm;Expert;Abdominals;Rectus Abdominis;;;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Isometric Hold;;;Sagittal Plane;;;Unsorted*;Other;Compound;Bilateral;Calisthenics
Double Dumbbell Renegade Row to Push Up;https://youtu.be/731lQp2shpY;https://youtu.be/731lQp2shpY;Intermediate;Back;Latissimus Dorsi;;;Dumbbell;2;None;0;Prone;Double Arm;Alternating;Neutral;Other;Continuous;No Elevation;Combo Exercise;Horizontal Pull;Horizontal Push;Anti-Extension;Sagittal Plane;;;Upper Body;Push & Pull;Compound;Unilateral;Bodybuilding
